Timestamp,R,G,B,Detected Color
2025-03-17 12:48:21,255,32,33,Blue (Ryb)
2025-03-17 12:48:21,255,32,29,Blue (Ryb)
2025-03-17 12:48:21,255,22,40,Tractor Red
2025-03-17 12:48:21,255,20,36,Tractor Red
2025-03-17 12:48:21,255,20,33,Tractor Red
2025-03-17 12:48:21,255,20,33,Tractor Red
2025-03-17 12:48:21,255,22,40,Tractor Red
2025-03-17 12:48:21,255,22,42,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,19,34,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,20,40,Tractor Red
2025-03-17 12:48:22,255,22,40,Tractor Red
2025-03-17 12:48:22,255,22,44,Tractor Red
2025-03-17 12:48:22,255,22,44,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,22,44,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,22,42,Tractor Red
2025-03-17 12:48:22,255,20,40,Tractor Red
2025-03-17 12:48:22,255,22,40,Tractor Red
2025-03-17 12:48:22,255,22,44,Tractor Red
2025-03-17 12:48:22,255,20,38,Tractor Red
2025-03-17 12:48:22,255,20,33,Tractor Red
2025-03-17 12:48:22,255,22,44,Tractor Red
2025-03-17 12:48:22,255,20,38,Tractor Red
2025-03-17 12:48:22,255,22,40,Tractor Red
2025-03-17 12:48:22,255,20,40,Tractor Red
2025-03-17 12:48:22,255,20,40,Tractor Red
2025-03-17 12:48:22,255,20,33,Tractor Red
2025-03-17 12:48:22,255,22,44,Tractor Red
2025-03-17 12:48:22,255,20,36,Tractor Red
2025-03-17 12:48:22,255,20,40,Tractor Red
2025-03-17 12:48:22,255,22,40,Tractor Red
2025-03-17 12:48:22,255,22,44,Tractor Red
2025-03-17 12:48:23,255,22,44,Tractor Red
2025-03-17 12:48:23,255,22,42,Tractor Red
2025-03-17 12:48:23,255,20,36,Tractor Red
2025-03-17 12:48:23,255,20,36,Tractor Red
2025-03-17 12:48:23,255,22,42,Tractor Red
2025-03-17 12:48:23,255,22,42,Tractor Red
2025-03-17 12:48:23,255,20,38,Tractor Red
2025-03-17 12:48:23,255,22,44,Tractor Red
2025-03-17 12:48:23,255,22,42,Tractor Red
2025-03-17 12:48:23,255,24,44,Tractor Red
2025-03-17 12:48:23,255,20,40,Tractor Red
2025-03-17 12:48:23,255,22,42,Tractor Red
2025-03-17 12:48:23,255,27,38,Tractor Red
2025-03-17 12:48:23,255,20,38,Tractor Red
2025-03-17 12:48:23,255,20,38,Tractor Red
2025-03-17 12:48:23,255,23,43,Tractor Red
2025-03-17 12:48:23,255,23,41,Tractor Red
2025-03-17 12:48:23,255,29,39,Tractor Red
2025-03-17 12:48:23,255,26,41,Tractor Red
2025-03-17 12:48:23,255,22,42,Tractor Red
2025-03-17 12:48:23,255,32,35,Blue (Ryb)
2025-03-17 12:48:23,255,27,47,Tractor Red
2025-03-17 12:48:23,255,25,46,Tractor Red
2025-03-17 12:48:23,255,33,46,Tractor Red
2025-03-17 12:48:23,255,38,37,Blue (Ryb)
2025-03-17 12:48:23,255,38,37,Blue (Ryb)
2025-03-17 12:48:23,255,51,41,Deep Carmine Pink
2025-03-17 12:48:23,255,59,40,Deep Carmine Pink
2025-03-17 12:48:23,255,58,62,Coral Red
2025-03-17 12:48:23,134,15,26,Falu Red
2025-03-17 12:48:23,82,35,57,Caput Mortuum
2025-03-17 12:48:24,61,27,51,Bistre
2025-03-17 12:48:24,52,25,47,Bistre
2025-03-17 12:48:24,43,28,45,Dark Jungle Green
2025-03-17 12:48:24,39,26,47,Dark Jungle Green
2025-03-17 12:48:24,38,22,44,Dark Jungle Green
2025-03-17 12:48:24,36,21,43,Dark Jungle Green
2025-03-17 12:48:24,36,22,44,Dark Jungle Green
2025-03-17 12:48:24,37,24,45,Dark Jungle Green
2025-03-17 12:48:24,35,26,48,Dark Jungle Green
2025-03-17 12:48:24,40,24,50,Dark Jungle Green
2025-03-17 12:48:24,36,27,49,Dark Jungle Green
2025-03-17 12:48:24,39,26,45,Dark Jungle Green
2025-03-17 12:48:24,34,31,47,Dark Jungle Green
2025-03-17 12:48:24,37,29,44,Dark Jungle Green
2025-03-17 12:48:24,39,28,44,Dark Jungle Green
2025-03-17 12:48:24,36,26,44,Dark Jungle Green
2025-03-17 12:48:24,39,30,51,Dark Jungle Green
2025-03-17 12:48:24,43,29,55,Dark Jungle Green
2025-03-17 12:48:24,40,29,52,Dark Jungle Green
2025-03-17 12:48:24,37,26,51,Dark Jungle Green
2025-03-17 12:48:24,42,28,50,Dark Jungle Green
2025-03-17 12:48:24,39,30,51,Dark Jungle Green
2025-03-17 12:48:24,42,28,52,Dark Jungle Green
2025-03-17 12:48:24,36,30,50,Dark Jungle Green
2025-03-17 12:48:24,45,32,53,Black Leather Jacket
2025-03-17 12:48:24,44,33,58,Onyx
2025-03-17 12:48:24,43,36,61,Onyx
2025-03-17 12:48:24,51,33,55,Onyx
